ID,Point ID,RC NE Quad,RC SE Quad,RC SW Quad,RC NW Quad,Canopy NE,Canopy SE,Canopy SW,Canopy NW
1,X20,0,0,0,0,3,3,3,2
2,X19,1,0,2,2,1,3,2,1
3,X10,1,2,1,1,3,1,2,2
4,X11,2,3,2,3,2,1,1,2
5,X12,2,3,2,0,1,1,1,1
6,X13,1,1,1,1,3,1,1,2
7,X14,0,0,0,0,2,2,3,3
8,X15,1,0,1,2,3,3,3,3
9,X16,2,3,3,2,2,1,1,2
10,X07,1,1,2,1,0,0,0,0
11,D18,1,1,1,1,1,0,1,1
12,X08,2,2,3,1,1,1,2,1
13,D17,2,3,3,2,1,2,1,2
14,D16,2,1,2,1,1,0,1,1
15,D15,2,3,3,2,1,2,1,0
16,D14,2,3,2,2,1,2,1,1
17,X06,3,3,2,3,1,1,1,1
18,D19,3,3,3,3,1,0,1,1
19,X09,1,1,2,3,1,1,1,2
20,D20,1,3,2,3,0,1,1,1
21,X18,1,1,2,1,2,2,3,3
22,X17,2,2,2,2,2,3,3,1
23,D13,1,1,2,1,2,3,2,1
24,X05,1,1,1,1,2,2,2,2
25,D04,1,1,1,1,2,3,1,0
26,D05,2,2,2,1,2,1,0,0
27,D03,1,1,1,1,2,1,1,0
28,D02,1,0,1,1,0,2,1,1
29,D01,1,1,2,2,3,2,3,1
30,X01,1,1,1,3,2,2,3,1
31,X02,1,2,1,2,2,3,3,2
32,X03,1,2,1,1,3,2,1,2
33,X04,1,1,2,2,1,1,2,3
34,D06,1,2,3,2,2,3,2,1
35,D07,2,2,2,3,1,0,1,1
36,D08,2,2,3,2,1,1,1,0
37,D09,2,2,1,1,2,1,0,0
38,D10,3,2,2,3,1,1,0,1
39,D11,2,3,3,3,2,2,0,1
40,D12,2,2,2,2,1,0,1,2
