ID,Point ID,DBH,% Beaver Damage,"Condition(1,2,3,4,5,6)",% of leaves yellow,"Fallen (0,1,2,3)","Quad (1-NE, 2-SE,3-SW,4-NW)",CoreID
1,X20,52,0,3,0,0,3,
2,X20,88,0,1,0,0,2,
3,X20,47,0,1,0,0,2,
4,X20,64,0,3,0,0,2,X20
5,X19,60,0,1,0,0,2,
6,X19,57,0,6,0,0,4,X19
7,X10,107,0,3,0,0,4,X10
8,X11,77,0,1,0,0,3,X11
9,X13,96,0,1,0,0,4,X13
10,X14,52,0,1,0,0,3,
11,X14,52,0,1,0,0,4,
12,X14,40,0,3,0,0,4,
13,X14,52,0,1,0,0,4,
14,X14,68,0,3,0,0,1,
15,X14,54,0,1,0,0,4,
16,X14,52,0,1,0,0,4,X14
17,X15,58,0,1,0,0,3,
18,X15,65,0,3,0,0,2,
19,X15,63,0,1,0,0,2,
20,X15,66,0,3,0,0,2,X15
21,X16,45,0,5,0,0,2,
22,X16,31,0,4,0,0,3,
23,X16,27,0,5,0,0,1,
24,X16,47,0,1,0,0,1,
25,X16,37,0,1,0,0,1,X16
27,D18,27,0,5,10,0,3,
28,D18,49,0,3,0,0,3,
29,D18,39,0,5,0,0,3,
30,D18,38,0,5,0,0,4,
31,D18,58,0,1,5,0,1,D18
32,D18,45,0,1,0,0,1,
33,D18,31,0,6,0,0,4,
34,X08,29,0,5,0,2,2,
35,X08,36,0,5,0,2,1,
36,X08,33,0,6,0,3,2,X08
37,D17,26,0,5,0,0,1,
38,D17,56,0,5,0,0,2,
39,D17,21,0,6,0,0,2,
40,D17,37,0,5,0,0,2,
41,D17,29,0,5,0,0,1,D17
42,D17,33,0,5,0,2,4,
43,D16,31,0,5,0,2,1,D16
44,D16,40,0,6,0,3,2,
45,D16,24,0,6,0,3,4,
46,D15,53,0,3,5,0,2,D15
47,D15,32,0,5,0,2,1,
48,D15,29,0,5,0,2,4,
49,D14,37,0,6,0,0,3,
50,D14,34,0,6,0,3,2,
52,D14,27,0,6,0,3,1,D14
53,D14,29,0,6,0,0,4,
54,X06,28,0,1,0,0,4,X06
55,X17,53,0,1,0,0,4,
56,X17,68,0,2,5,0,3,X17
57,X17,73,0,5,0,1,3,
58,X18,69,0,3,5,0,4,
59,X18,56,0,1,0,0,1,
60,X18,52,0,5,0,1,1,
61,X18,63,0,6,0,1,1,
62,X18,47,0,6,0,1,2,
63,X18,61,0,3,0,0,3,X18
64,X18,46,0,2,10,0,2,
65,X18,46,0,2,15,0,2,
66,D20,36,0,6,0,1,4,
67,D20,57,0,6,0,1,1,
68,D20,54,0,5,0,0,3,
69,D20,46,0,2,5,0,2,D20
70,X09,52,0,5,0,0,3,X09
71,D19,37,0,5,0,0,2,D20
72,D13,34,0,2,20,0,2,
73,D13,35,0,2,1,0,2,
74,D13,47,0,2,40,0,2,
75,D13,55,0,1,20,0,3,
76,D13,58,0,1,30,0,3,
77,D13,38,0,2,100,0,4,
78,D13,47,0,1,80,0,1,
79,D13,38,0,5,0,0,1,
80,D13,51,0,1,10,0,1,
81,D13,30,0,1,5,0,1,
82,D13,46,0,1,0,0,1,
83,D13,47,0,1,10,0,1,
84,D13,53,0,1,0,0,1,D13*
85,D13,48,0,1,10,0,1,D13
86,D13,35,0,1,5,0,2,
87,X05,26,100,6,0,1,2,
88,X05,57,100,3,5,0,3,X05
89,D04,56,0,2,100,0,3,D04
90,D04,47,0,2,100,0,3,
91,D04,39,0,2,100,0,3,
92,D04,52,0,6,0,1,4,
93,D03,73,0,6,0,1,1,
94,D03,46,0,6,0,0,2,
95,D03,51,0,5,0,0,2,
96,D03,50,0,6,0,0,3,D03
97,D03,49,0,6,0,1,4,
98,D03,55,0,6,0,1,4,
99,D02,57,0,6,0,0,2,
100,D02,49,0,6,0,1,2,
101,D02,64,0,6,0,1,1,
102,D02,43,0,6,0,0,1,D02
103,D02,42,0,6,0,1,1,
104,D02,53,0,6,0,1,4,
105,D01,43,0,2,90,0,1,
106,D01,52,0,2,100,0,1,
107,D01,49,0,2,100,0,1,
108,D01,57,0,2,90,0,1,
109,X01,63,100,6,0,1,3,
110,X01,71,100,1,80,0,3,X01
111,X02,56,0,1,5,0,3,X02
112,X03,59,0,2,70,0,1,X03
113,X03,33,0,6,0,1,1,
114,X04,73,0,1,5,0,3,X04
115,D06,51,0,6,0,1,1,
116,D07,53,0,5,0,1,2,
117,D07,47,0,5,0,1,3,
118,D07,61,0,5,0,0,3,
119,D07,69,0,6,0,1,2,
120,D08,70,0,6,0,1,4,
121,D08,47,0,5,0,1,3,
122,D08,37,0,5,0,0,3,
123,D08,42,0,5,0,0,2,D08
124,D09,29,0,6,0,1,2,
125,D09,53,0,5,0,0,2,D09
126,D10,62,0,5,0,1,1,
127,D10,47,0,6,0,0,2,
128,D10,53,0,6,0,1,3,
129,D10,31,0,2,100,0,3,D10
